SrNo,Date,NO,CO,NO2,O3,SO2,PM2.5,Benzene,Toulene,P_Xylene,NOx,PM10,WindDirection,NH3,RH,Temp,WindSpeed,VerticalWindSpeed,Solar,BarPressure,Weather,PD_PM2.5,PD_PM10,PD_NO2,PD_SO2,PD_CO
1,04-04-2015,7.22,1.77,47.94,51.07,16.88,48.99,2.53,9.65,3,52.97,82.85,141.61,26.54,61.34,20.24,1.22,0.08,162.18,732.25,Summer,NA,NA,NA,NA,NA
2,05-04-2015,6.99,0.22,45.27,19.26,16.71,60.2,3.19,11.1,2.67,51.31,113.53,166.34,30.99,75.54,16.93,0.62,-0.04,99.37,734.05,Summer,48.99,82.85,47.94,16.88,1.77
3,09-04-2015,7.6,0.5,59.86,94.29,13.11,46.93,2.29,8.61,3.43,65.53,171.36,220.18,17.4,33.75,26.59,1.55,-0.17,146.94,728.08,Summer,NA,NA,NA,NA,NA
4,10-04-2015,7.57,0.77,63.56,66.91,16.19,112.95,3.92,10.76,4.66,68.83,232.22,233,25.85,42.96,25.21,1.18,-0.15,150.07,730.47,Summer,46.93,171.36,59.86,13.11,0.5
5,11-04-2015,8.34,0.48,61.99,69.48,20.28,104.87,5.19,15.95,7.66,67.4,235.05,221.01,29.51,40.74,26.52,0.88,0.15,137.01,730.62,Summer,112.95,232.22,63.56,16.19,0.77
6,12-04-2015,6.89,0.41,50.71,33.28,18.84,48.74,2.12,7.57,2.47,56.19,111.06,162.73,34.26,57.97,20.72,1.56,-0.16,59.33,732.96,Summer,104.87,235.05,61.99,20.28,0.48
7,13-04-2015,6.89,0.37,50.47,45.15,16.26,62.7,2.29,7.62,2.8,55.71,119.54,173.54,36.11,61.1,21.98,1.35,-0.13,133.14,732.73,Summer,48.74,111.06,50.71,18.84,0.41
8,14-04-2015,7.21,1.25,48.96,52.98,17.38,66.6,2.36,7.45,2.57,54.88,132.65,163.34,29.83,54.35,23.91,1.3,0.35,144.71,732.15,Summer,62.7,119.54,50.47,16.26,0.37
9,15-04-2015,7.16,1.81,67.51,27.02,13.4,68.11,3.03,10.89,4.32,71.63,151.87,222.41,29.65,60.16,22.91,0.37,1.39,4.46,730.5,Summer,66.6,132.65,48.96,17.38,1.25
10,16-04-2015,6.64,1.58,47.51,24.05,17.12,63.76,2.91,10.08,2.75,53.07,110.12,173.37,24.56,53.83,23.58,1.45,0.34,114.03,731.25,Summer,68.11,151.87,67.51,13.4,1.81
11,17-04-2015,7.39,1.59,51.28,54.96,21.14,68.72,2.86,10.14,3.41,57.37,183.81,222.58,26.72,46.75,25.67,1.29,-0.27,147.54,731.55,Summer,63.76,110.12,47.51,17.12,1.58
12,18-04-2015,7.18,1.66,62.32,59.17,24.89,183.15,4.66,11.3,4.44,66.96,291.06,219.64,25.21,38.16,28.65,0.98,0.32,144.33,731.31,Summer,68.72,183.81,51.28,21.14,1.59
13,19-04-2015,7.94,1.94,64.65,73.74,19.55,125.04,6.14,18.55,9.19,69.26,311.33,221.19,28.49,38.65,30.25,0.66,0.47,142.35,731.61,Summer,183.15,291.06,62.32,24.89,1.66
14,20-04-2015,6.91,1.52,58.82,57.16,19.01,121.78,2.47,6.53,2.61,63.29,370.26,161.85,28.05,33.75,31.11,1.33,0.57,135.35,729.96,Summer,125.04,311.33,64.65,19.55,1.94
15,21-04-2015,7.03,1.58,51.8,59.96,25.28,108.24,2.53,5.96,2.01,57.5,363.63,218.25,24.57,29.83,30.53,1.41,0.56,144.91,729.9,Summer,121.78,370.26,58.82,19.01,1.52
16,22-04-2015,7.45,1.53,62,75.62,28.69,96.32,3.67,8.14,2.67,67.3,278.09,220.04,17.95,21.84,29.73,1.44,0.05,150.39,729.96,Summer,108.24,363.63,51.8,25.28,1.58
17,23-04-2015,8.3,1.95,78.31,89.35,28.34,142.95,4.72,14.42,6.25,82.32,297.15,213.09,21.6,26.29,29.86,0.88,0.04,147,730.48,Summer,96.32,278.09,62,28.69,1.53
18,24-04-2015,8.1,1.55,106.11,80.9,30.65,137.22,5.53,17.32,8.6,107.01,304.19,183.82,27.91,27.65,30.14,0.69,-0.4,141.7,731.41,Summer,142.95,297.15,78.31,28.34,1.95
19,25-04-2015,7.35,0.93,56.95,76.78,23.78,90.81,2.2,7.67,3.25,62.17,377.34,145.52,32.02,36.2,28.35,2.52,1.28,147.16,730.09,Summer,137.22,304.19,106.11,30.65,1.55
20,26-04-2015,6.8,0.86,31.32,86.24,28.86,62.29,1.08,0,1.2,38.42,220.23,131.17,31.67,41.46,26.45,2.72,2.07,50.86,731.6,Summer,90.81,377.34,56.95,23.78,0.93
21,27-04-2015,6.86,0.87,33.22,61.41,18.63,64.55,1.24,0,0.89,40.2,208.92,133.51,29.82,43.39,28.43,2.97,1.77,146.29,731.33,Summer,62.29,220.23,31.32,28.86,0.86
22,28-04-2015,6.77,0.83,28.48,92.69,20.32,69.7,1.14,0,1.02,35.75,162.54,156.19,26.1,40.23,29.31,2.32,1.46,147.72,731.47,Summer,64.55,208.92,33.22,18.63,0.87
23,29-04-2015,6.76,0.88,58.84,74.32,17.4,57.89,1.59,5.09,1.38,63.41,142.42,146.17,28.27,39.73,29.61,1.67,2.08,148.05,731.76,Summer,69.7,162.54,28.48,20.32,0.83
24,30-04-2015,3.75,0.91,68.28,102.77,20.58,63.27,1.71,0,1.19,68.08,176.16,143.94,29.65,35.86,31.04,2.11,2.27,148.17,731.41,Summer,57.89,142.42,58.84,17.4,0.88
25,01-05-2015,26.86,1.15,91.43,94.17,23.63,62.51,1.43,5.04,1.9,121.07,178.88,146.64,26.91,34.94,30.08,1.87,2.48,149.74,731.3,Summer,63.27,176.16,68.28,20.58,0.91
26,02-05-2015,88.68,1.42,109.41,93.54,31.84,76.49,2.57,10.1,3.78,223.97,165.76,210.22,28.9,35.95,29.04,1.03,0.15,144.58,731.78,Summer,62.51,178.88,91.43,23.63,1.15
27,03-05-2015,161.14,1.42,141.16,111.31,33.82,137.5,5.71,17.69,8.22,354.74,254.83,186.03,34.7,31.53,29.56,0.84,0.72,146.85,732.26,Summer,76.49,165.76,109.41,31.84,1.42
28,04-05-2015,141.81,1.61,126.43,102.9,25.82,116.36,4.07,13.11,6.47,315.63,234.73,209.25,35.64,30.55,30.18,0.9,1.7,147.52,732.02,Summer,137.5,254.83,141.16,33.82,1.42
29,05-05-2015,154.61,1.66,149.01,109.28,37.68,135.44,4.77,16.11,7.95,355.19,324.72,226.58,37.02,28.53,30.92,0.98,1.44,144.72,733.09,Summer,116.36,234.73,126.43,25.82,1.61
30,06-05-2015,101.11,1.14,122.86,79.06,35.47,149.85,4.09,11.17,4.99,255.66,364.5,232.46,28.03,19.23,33.02,1.16,1.19,143.33,733.01,Summer,135.44,324.72,149.01,37.68,1.66
31,07-05-2015,27.45,0.95,75.3,78.97,37.25,94.05,2.65,6.09,1.97,107.56,295.75,224.77,22.42,15.19,34.03,1.79,1.04,146.04,733.1,Summer,149.85,364.5,122.86,35.47,1.14
32,08-05-2015,64.33,1.21,69.19,67.56,47.61,109.51,3.85,7.77,3.5,154.4,334.48,241.63,19.25,18.7,33.09,1.52,0.93,144.34,732.12,Summer,94.05,295.75,75.3,37.25,0.95
33,09-05-2015,82.94,1.33,59.64,50.45,30.67,104.91,3.27,10.73,5.72,171.8,288.56,221.81,17.72,23.46,33.23,1.1,1.9,147.59,731.54,Summer,109.51,334.48,69.19,47.61,1.21
34,10-05-2015,8.06,1.24,25.27,105.29,33.1,108.58,2.96,10.29,4.92,34.16,308.74,214.21,5.86,21.51,33.91,0.95,1.81,144.84,731.33,Summer,104.91,288.56,59.64,30.67,1.33
35,11-05-2015,19.66,1.67,70.35,92.29,37.99,137.49,2.56,7.04,2.94,87.67,381.89,189.42,13.8,30.71,32.1,1.84,1.07,125.37,731.47,Summer,108.58,308.74,25.27,33.1,1.24
36,12-05-2015,9.27,1.33,66.3,42.47,6.01,124.74,1.42,0,1.28,74.09,337.67,153.77,32.75,40.29,31.18,1.75,1.02,139.79,729.99,Summer,137.49,381.89,70.35,37.99,1.67
37,13-05-2015,NA,2.58,NA,14.31,1.56,84.63,1.6,5.59,1.43,NA,167.18,146.08,NA,54.42,26.35,1.75,0.95,85.88,725.54,Summer,124.74,337.67,66.3,6.01,1.33
38,14-05-2015,NA,0.7,NA,31.95,6.59,96.3,3.34,12.56,4.84,NA,173.15,186.32,1,49.72,27.82,1.03,0.93,156.66,726.42,Summer,84.63,167.18,NA,1.56,2.58
39,15-05-2015,5.4,1.18,78.91,21.11,5.46,109.32,2.44,11.14,4.73,79.98,209.37,170.91,10.53,47.58,27.77,1.29,1.81,132.01,728.38,Summer,96.3,173.15,NA,6.59,0.7
40,16-05-2015,56.22,1.96,97.7,84.25,10.44,96.41,3.09,10.5,3.93,169.2,172.14,183.33,20.48,46.87,28.86,0.88,2.23,152.82,730.41,Summer,109.32,209.37,78.91,5.46,1.18
41,17-05-2015,11.35,1.42,60.15,60.85,11.59,102.2,2.34,7.62,2.57,71.37,197.38,169.94,24.63,37.99,31.96,1.19,2.18,154.23,731.17,Summer,96.41,172.14,97.7,10.44,1.96
42,18-05-2015,1.12,1.92,34.87,81.34,12.17,72,2.95,8.52,3.58,33.67,185.97,170.24,27.93,32.44,34.35,0.97,2.37,149.9,729.24,Summer,102.2,197.38,60.15,11.59,1.42
43,19-05-2015,16.45,1.56,85.09,44.36,10.01,94.03,2.5,8.37,2.9,101.49,241.73,185.43,37.31,39.78,31.18,2.01,1.64,111.63,727.81,Summer,72,185.97,34.87,12.17,1.92
44,20-05-2015,18.37,1.64,69.24,50.18,9.24,78.08,2.46,6.54,2.62,89.64,150.79,236.93,34.69,37.86,30.39,1.73,0.19,158.25,728.41,Summer,94.03,241.73,85.09,10.01,1.56
45,21-05-2015,6.83,2.09,53.58,54.86,15.91,95.29,2.02,0,1.78,59.22,291.4,241.74,28.74,27.88,33.78,1.71,0.57,156.07,731.12,Summer,78.08,150.79,69.24,9.24,1.64
46,22-05-2015,18.41,1.83,73.36,69.12,13.42,58.4,1.11,0,1.66,93.48,200.46,231.05,6.56,20.75,34.7,1.56,-0.02,155.7,728.22,Summer,95.29,291.4,53.58,15.91,2.09
47,23-05-2015,20.09,1.73,61.99,58.42,13.42,66.61,1.04,0,1.47,85.27,283.08,249.94,11.67,17.83,36.19,1.8,0.79,151.56,729.64,Summer,58.4,200.46,73.36,13.42,1.83
48,24-05-2015,62.12,2.45,76.84,99.26,26.7,95.64,1.69,5.35,3.79,153.44,283.85,189.01,17.87,22.66,35.37,1.08,1.15,151.33,729.44,Summer,66.61,283.08,61.99,13.42,1.73
49,25-05-2015,65.33,1.94,65.4,50.46,11.87,110.63,1.48,0,0.97,152.31,399.57,247.46,16.56,20.59,36.35,1.61,-0.07,146.63,730.98,Summer,95.64,283.85,76.84,26.7,2.45
50,26-05-2015,15.7,1.03,60.98,60.19,15.54,111.09,0.45,0,0.3,77.72,320.67,240.08,11.02,16.03,36.28,1.67,0.49,154.6,729.36,Summer,110.63,399.57,65.4,11.87,1.94
51,27-05-2015,85.01,0.94,100.31,118.76,24.37,85.74,3.53,9.86,4.59,211.61,254.88,216.56,9.19,17.39,33.32,1.22,0.34,161.73,728.83,Summer,111.09,320.67,60.98,15.54,1.03
52,28-05-2015,112.54,0.98,81.09,54.55,16.49,235.48,0.57,0,0.46,229.47,698.52,196.9,17.49,27.93,33.03,1.29,2.34,147.5,728.74,Summer,85.74,254.88,100.31,24.37,0.94
53,29-05-2015,77.82,4.78,76.08,63.68,11.35,93.08,1.15,0,1.15,179.77,298.35,179.44,19.19,29.24,33.71,1.39,2.1,145.28,729.6,Summer,235.48,698.52,81.09,16.49,0.98
54,30-05-2015,59.45,1.04,72.08,61.96,17.28,107.21,1.71,7.85,3.84,149.89,250.54,225.68,15.68,26.33,34.41,1.21,2.27,154.97,730.12,Summer,93.08,298.35,76.08,11.35,4.78
55,31-05-2015,21.69,1.03,51.92,62.84,14.1,96.88,1.81,0,6.15,78.38,428.3,187.93,13.08,24.7,33.69,2.23,1.44,147.69,728.78,Summer,107.21,250.54,72.08,17.28,1.04
56,01-06-2015,15.87,1.05,52.78,63.8,12.64,52.06,0.16,0,NA,69.85,199.78,199.93,13.6,34.28,28.64,2.1,0.49,111.01,727.23,Summer,96.88,428.3,51.92,14.1,1.03
57,02-06-2015,18.42,1.13,85.82,75.86,11.29,76.71,3.3,8.25,2.55,104.72,121.2,157.25,25.14,43.38,27.79,1.22,0.92,42.87,727.97,Summer,52.06,199.78,52.78,12.64,1.05
58,03-06-2015,16.63,1.72,82.51,24.71,10.1,84.09,1.59,0,1.63,99.37,135.65,164.69,32.92,46.58,26.43,1.63,0.26,99.41,725.82,Summer,76.71,121.2,85.82,11.29,1.13
59,04-06-2015,19.8,2.3,79.27,58.81,9.56,95.38,8.59,20.33,6.05,100.86,180.92,206.42,30.21,44.13,29.52,1.09,1.22,153.17,730.14,Summer,84.09,135.65,82.51,10.1,1.72
60,05-06-2015,33.84,2.42,131.67,4.98,4.94,122.81,7.63,24.88,15.13,168.88,229.62,235.6,55.66,51.07,26.6,0.34,3.56,3.31,724.55,Summer,95.38,180.92,79.27,9.56,2.3
61,06-06-2015,60.02,2.78,103.31,45.72,8.76,78.12,10.52,30.03,14.97,176.19,185.42,218.66,15.86,29.04,32.84,1.02,2.44,57.52,730.13,Summer,122.81,229.62,131.67,4.94,2.42
62,07-06-2015,66.9,2.47,87.38,15.16,7.94,139.74,4.68,11.39,8.78,174.76,233.54,254.53,36.51,40.4,30.79,0.83,2.91,144.95,727.84,Summer,78.12,185.42,103.31,8.76,2.78
63,08-06-2015,6.24,1.75,48.63,89.6,15.15,47.68,6.41,20.2,5.37,53.45,136.62,185.28,22.24,20.84,41.05,1.83,0.35,256.48,735.38,Summer,139.74,233.54,87.38,7.94,2.47
64,09-06-2015,2.35,1.61,31.89,46.55,13.41,82.5,5.7,10.64,3.19,32.66,336.12,234.96,12.37,27.92,37.55,2.83,0.24,111.39,734.46,Summer,47.68,136.62,48.63,15.15,1.75
65,10-06-2015,2.22,1.51,25.53,17.87,8.06,68.05,3.87,6.96,1.35,26.49,171.52,207.48,12.96,38.44,35.41,2.57,-0.09,152.41,731.51,Summer,82.5,336.12,31.89,13.41,1.61
66,11-06-2015,2.86,1.5,35.71,10.93,7.69,148.1,3.01,9.1,2.31,36.84,384.6,232.64,12.98,35.84,34.16,2.33,0.43,141.02,730.51,Summer,68.05,171.52,25.53,8.06,1.51
67,12-06-2015,15.32,1.8,34.97,20.72,9.18,86.08,4.62,12.03,4.46,52.38,179.9,226.12,13.56,35.58,34.29,2.08,0.01,156.26,730.84,Summer,148.1,384.6,35.71,7.69,1.5
68,13-06-2015,14.67,1.78,46.97,12.58,5.8,78.46,2.51,6.24,3.08,63.32,158.35,212.58,15.36,46.03,29.64,2.2,0.64,115.01,728.4,Summer,86.08,179.9,34.97,9.18,1.8
69,14-06-2015,6.66,1.97,62.8,30.12,5.4,81.4,3.89,8.82,4.57,67.18,120.34,176.33,27.1,68.61,24.41,1.12,0.17,94.16,728.22,Summer,78.46,158.35,46.97,5.8,1.78
70,15-06-2015,25.74,2.48,72.36,18.02,5.96,107.36,8.27,20.59,8.67,102.9,187.3,185.39,36.26,59.11,28.37,0.84,0.56,122.44,729.76,Summer,81.4,120.34,62.8,5.4,1.97
71,16-06-2015,52.53,2.52,80.01,26.35,4.56,119.66,7.33,17.29,10.4,147.72,219.96,209.16,40.64,53.7,30.45,0.97,0.44,140.32,730.5,Summer,107.36,187.3,72.36,5.96,2.48
72,17-06-2015,58.44,2.78,83.8,44.74,6.93,146.87,9.67,21.81,10.05,158.02,263.19,215.24,28.71,47.63,32,0.77,1.14,151.84,731.61,Summer,119.66,219.96,80.01,4.56,2.52
73,18-06-2015,45.83,2.81,119.46,51.44,6.12,126.82,10.84,21.52,10.85,174.57,252.83,170.65,42.48,43.82,33.45,0.76,1.74,143.95,732.59,Summer,146.87,263.19,83.8,6.93,2.78
74,19-06-2015,3.49,2.18,65.84,43.15,3.76,108.67,5.51,17.15,7.92,65.51,220.79,126.69,34.48,43.71,34.23,1.72,2.4,146.01,732.51,Summer,126.82,252.83,119.46,6.12,2.81
75,20-06-2015,3.04,1.83,50.6,31.05,5.03,59.43,3.12,8.15,2.52,50.8,161.92,132.16,25.83,47.98,31.65,3.13,2.89,148.82,731.52,Summer,108.67,220.79,65.84,3.76,2.18
76,21-06-2015,6.05,2.06,68.81,22.46,2.01,53.16,1.01,0,0.53,71.86,100.46,126.82,26.87,56.48,29.95,2.18,0.56,131.3,730.79,Summer,59.43,161.92,50.6,5.03,1.83
77,22-06-2015,9.59,1.91,73.68,15.96,3.48,56.41,4.9,10.51,3.74,81.32,112.59,134.56,33.82,57.85,30.12,1.87,-0.06,151.04,731.85,Summer,53.16,100.46,68.81,2.01,2.06
78,23-06-2015,24.05,2.16,70.68,21.12,5.49,65.31,8.34,20.66,7.1,98.96,160.36,164.5,38.58,59.01,30.06,1.3,-0.12,121.17,732.43,Summer,56.41,112.59,73.68,3.48,1.91
79,24-06-2015,9.66,2.18,70.54,23.18,3,121.15,7.84,20.23,6.75,134.57,191.47,153.48,37.91,70.05,27.31,1.35,-0.12,98.26,731.28,Summer,65.31,160.36,70.68,5.49,2.16
80,25-06-2015,22.7,2.13,62.15,42.31,8.4,42.57,7.54,20.48,6.7,253.3,72.24,129.31,24.7,77.98,23.61,1.53,-0.13,79.76,731.2,Summer,121.15,191.47,70.54,3,2.18
81,26-06-2015,10.12,1.25,44.05,24.29,4.65,69.99,5.91,14.98,5.24,155.44,148.76,223.37,19.79,59.21,28.74,1.78,-0.23,162.73,731.49,Summer,42.57,72.24,62.15,8.4,2.13
82,27-06-2015,1.94,1.45,39.2,18.79,7.01,77.68,4.46,9.97,2.33,110.14,171.72,225.32,18.75,50.61,30.71,2.08,-0.09,154.05,731.83,Summer,69.99,148.76,44.05,4.65,1.25
83,28-06-2015,4.01,1.76,47.36,32.37,6.07,94.3,3.92,10.55,4.01,139.77,206,182.13,16.59,46.64,32.63,1.54,0.3,157.42,731.86,Summer,77.68,171.72,39.2,7.01,1.45
84,29-06-2015,2.47,1.77,31.24,23.55,6.59,44.93,2.37,5.2,1.25,90.77,85.99,153.09,20.81,55.96,29.11,2.39,0.49,142.42,731.45,Summer,94.3,206,47.36,6.07,1.76
85,30-06-2015,2.06,1.71,46.13,27.98,5.84,56.81,3.5,6.57,1.7,128.49,115.76,171.71,13.96,58.42,28.2,1.5,0.16,99.52,730.95,Summer,44.93,85.99,31.24,6.59,1.77
86,01-07-2015,2.68,1.65,49.95,31.4,5.44,54.6,3.66,9.51,2.33,141.1,133.12,188.61,13.77,54.47,29.72,1.44,0.37,146.52,731.9,Monsoon,56.81,115.76,46.13,5.84,1.71
87,02-07-2015,3.66,1.7,51.12,30.26,5.97,62.66,1.34,0,0.69,147.45,150.07,209.58,11.04,45,31.89,1.21,1.32,151.66,731.49,Monsoon,54.6,133.12,49.95,5.44,1.65
88,03-07-2015,2.17,1.58,30.92,20.61,12.33,78.02,2.41,6.98,1.49,88.7,221.13,234.06,13.95,49.55,31.37,2.18,-0.12,146.67,731.76,Monsoon,62.66,150.07,51.12,5.97,1.7
89,04-07-2015,2.49,1.35,26.13,19.26,5.38,105.67,1.21,0,0.64,77.44,282.92,254.42,16.16,58.68,28.56,2.67,-0.35,157.93,730.7,Monsoon,78.02,221.13,30.92,12.33,1.58
90,05-07-2015,30.04,2.05,41.15,15.74,6.52,196.12,1.84,5.13,2.71,227.79,548.13,223.61,14.49,41.98,35.27,1.49,1.22,167.4,732.81,Monsoon,105.67,282.92,26.13,5.38,1.35
91,06-07-2015,15.22,1.86,51.66,16.02,7.23,70.11,3.6,11.41,4.86,195.89,141.87,175.64,16.33,71.38,26.2,2.18,0.07,63.04,731.02,Monsoon,196.12,548.13,41.15,6.52,2.05
92,07-07-2015,21.1,2.16,64.18,20.23,4.94,58.94,7.3,21.41,12.27,252.19,81.6,172.65,16.9,77.81,25.38,0.95,-0.22,108.56,731.94,Monsoon,70.11,141.87,51.66,7.23,1.86
93,08-07-2015,22.57,2.19,57.22,17.42,4.36,67.79,6.34,16.12,7.2,239.88,98.41,178.8,20.43,71.19,28.03,1.03,-0.14,134.87,731.53,Monsoon,58.94,81.6,64.18,4.94,2.16
94,09-07-2015,25.89,2.32,69.52,25.18,5.44,59.98,5.97,16.34,8.81,285.32,92.47,197.58,26.29,74.08,27.19,0.96,-0.39,99.56,731.35,Monsoon,67.79,98.41,57.22,4.36,2.19
95,10-07-2015,25,2.09,58.54,13.76,6.44,32.5,6.43,17.75,8.78,253.03,60.18,160.07,24.39,83.35,24.26,1.07,-1.09,29.96,730.92,Monsoon,59.98,92.47,69.52,5.44,2.32
96,11-07-2015,31.79,19.9,51.5,26.52,5.19,29.38,5.66,16.96,8.87,261.84,41.47,127.99,13.86,86.82,22.63,1.45,-1.38,24.24,730.74,Monsoon,32.5,60.18,58.54,6.44,2.09
97,12-07-2015,15.43,1.74,32.94,15.65,5.29,27.47,4.45,12.28,4.86,147.84,36.63,186.39,11.27,85.36,22.73,1.53,-0.35,50.09,731.99,Monsoon,29.38,41.47,51.5,5.19,19.9
98,13-07-2015,23.37,2.19,41.19,16.93,7.58,45.68,5.61,16.22,8.09,201.2,76.45,189.73,11.6,70.15,27.48,0.94,-0.69,150.09,731.9,Monsoon,27.47,36.63,32.94,5.29,1.74
99,14-07-2015,10.67,1.7,40.5,16,4.94,46.01,3.83,11.14,4.11,148.52,96.38,229.12,23.36,67.25,28.74,1.64,-1.15,141.94,732.42,Monsoon,45.68,76.45,41.19,7.58,2.19
100,15-07-2015,5.41,1.53,36.25,15.84,6.63,70.01,2.8,8.43,2.55,116.37,194.44,252.87,15.61,55.88,30.94,2.36,-0.69,156.17,732.19,Monsoon,46.01,96.38,40.5,4.94,1.7
101,16-07-2015,6.98,1.55,43.52,20.93,5.46,94.06,2.86,10.97,3.39,141.67,209.69,221.26,14.81,57.37,30.22,2.38,-0.3,140.74,731.72,Monsoon,70.01,194.44,36.25,6.63,1.53
